student_id,age,gender,school_type,location,math_score,english_score,science_score,history_score,attendance_rate,study_hours_per_week,parental_education_level,household_income,internet_access,recommended_stream,parental_career,extracurricular_activity,interest
S0001,18,Male,Private,Urban,88,81,98,71,83,21,Primary,9270,Yes,STEM,Technology,Sports,Humanities
S0002,19,Female,Public,Urban,80,63,55,48,70,28,Secondary,9603,Yes,Healthcare,Arts,None,Healthcare
S0003,17,Female,Private,Urban,41,45,54,77,59,24,Secondary,2860,No,Humanities,Healthcare,None,Healthcare
S0004,19,Male,Private,Urban,85,77,61,86,63,4,Secondary,7390,No,Healthcare,Technology,Entrepreneurship Club,Healthcare
S0005,19,Male,Public,Urban,61,90,91,51,64,21,Secondary,7226,No,Business,Technology,None,Business
S0006,16,Male,Public,Rural,40,47,75,73,75,17,Primary,7191,No,STEM,Technology,None,Business
S0007,17,Female,Private,Rural,70,98,46,100,60,13,Secondary,5772,Yes,Business,Education,None,Business
S0008,17,Female,Private,Rural,91,99,100,52,69,24,Tertiary,5092,No,STEM,Business,Music,Humanities
S0009,17,Male,Private,Rural,46,88,67,75,63,17,Secondary,7734,Yes,Healthcare,Healthcare,Music,Business
S0010,19,Male,Private,Rural,43,63,61,63,83,16,Tertiary,8265,Yes,Arts,Education,Entrepreneurship Club,Arts
S0011,18,Female,Private,Urban,55,54,93,96,81,21,Secondary,2466,Yes,Humanities,Business,Sports,Healthcare
S0012,17,Male,Public,Urban,47,89,66,61,69,24,Secondary,7334,Yes,Healthcare,Arts,Entrepreneurship Club,STEM
S0013,19,Male,Private,Rural,91,44,78,97,61,7,Tertiary,6426,No,Business,Technology,Music,Arts
S0014,16,Male,Public,Urban,58,40,90,59,67,6,Primary,7578,Yes,Healthcare,Arts,Music,Healthcare
S0015,18,Male,Public,Rural,67,65,89,74,46,12,Tertiary,8231,No,Arts,Business,Sports,Business
S0016,16,Female,Private,Rural,44,52,82,74,74,14,Primary,5444,Yes,Arts,Business,None,Business
S0017,18,Female,Public,Urban,57,42,57,57,94,15,Secondary,5171,No,Healthcare,Arts,Sports,Humanities
S0018,19,Male,Private,Rural,91,59,70,43,67,17,Primary,4919,No,Arts,Technology,Music,Humanities
S0019,15,Male,Public,Urban,48,71,87,63,53,10,Tertiary,9831,No,Humanities,Healthcare,Entrepreneurship Club,Healthcare
S0020,18,Female,Private,Rural,71,54,45,49,95,29,Secondary,2130,Yes,Business,Technology,None,Arts
S0021,16,Female,Private,Rural,57,95,70,55,49,19,Secondary,3685,Yes,Business,Healthcare,Sports,Humanities
